"","Name","Year","Acre_feet","irrig_temp","irrig_prcp","AF_used","class1_urban","et","lt","d.et","d.urb","d.use","d.prcp","d.temp","d.Acre_feet","scale_d.use","scale_d.urb","scale_d.prcp","scale_d.temp","scale_d.et"
"1156","Penitentiary Canal",1988,1027.440375,25.5044449,124.6809402,644,22.33560091,0.796994681,6.93482591548955,0.00750855700000008,0,-171,60.97781967,-1.72485599,-262.810521,-0.00279649885015206,-0.116360851150612,0.473414350070563,-0.685735100483883,0.0300231113940272
"1157","Penitentiary Canal",1989,1759.739577,25.94584352,109.33203,1126,22.33560091,0.832728667,7.47292110947027,0.035733986,0,482,-15.3489102,0.441398620000001,732.299202,0.0259914507857737,-0.116360851150612,-0.163382212054623,0.214144814469407,0.175368869914766
"1158","Penitentiary Canal",1990,1381.292427,25.81656516,187.7977076,639,22.78911565,0.717775634,7.23077488117442,-0.114953033,0.453514739999999,-487,78.4656776,-0.129278360000001,-378.44715,-0.0167275740185327,-0.00138825557485014,0.619316157048602,-0.0229190790625732,-0.600588125310497
"1159","Penitentiary Canal",1991,1026.845333,25.08651189,162.5535716,592,23.92290249,0.718865586,6.93424659780815,0.00108995199999995,1.13378684,-47,-25.244136,-0.730053269999999,-354.447094,0.00267012558300995,0.171070635253647,-0.245938425082808,-0.272485899334392,-0.00302924761068542
"1160","Penitentiary Canal",1992,1112.928175,26.87981579,131.6817675,438,24.26303855,0.521401943,7.01474981639896,-0.197463643,0.340136060000003,-154,-30.8718041,1.7933039,86.082842,-0.00204704227463791,-0.030131403201217,-0.292890255784389,0.77573734508671,-1.02547333064994
"1161","Penitentiary Canal",1993,1265.259103,23.63619066,179.4605265,631,25.85034014,0.747707377,7.14303220469387,0.226305434,1.58730159,193,47.778759,-3.24362513,152.330928,0.0132506890020332,0.286043233364555,0.363294127806968,-1.31664424580216,1.15670919469621
"1162","Penitentiary Canal",1994,1154.184468,26.76626695,88.31973694,774,28.3446712,0.583183236,7.05114928524645,-0.164524141,2.49433106,143,-91.14078956,3.13007629,-111.074635,0.0110464049564034,0.515988421980934,-0.795716497771544,1.33104354920143,-0.855852634947302
"1163","Penitentiary Canal",1995,1889.657231,24.33745277,177.0215793,1072,29.36507937,0.847213068,7.54415073234685,0.264029832,1.02040817,298,88.70184236,-2.42881418,735.472763,0.0178796854978559,0.142327490162426,0.704716835678711,-0.978165100735732,1.35096952788896
"1164","Penitentiary Canal",1996,2217.724099,24.92542473,140.9738724,1048,29.36507937,0.836771931,7.7042367683786,-0.0104411369999999,0,-24,-36.0477069,0.587971960000001,328.066868,0.00368409624399968,-0.116360851150612,-0.336072992874631,0.27503258090496,-0.0624081458827057
"1165","Penitentiary Canal",1997,2184.798404,24.0313789,178.4574065,844,29.8185941,1.040529785,7.68927883965758,0.203757854,0.453514729999998,-204,37.4835341,-0.89404583,-32.9256949999999,-0.00425132632026775,-0.00138825810999608,0.277400708374592,-0.340609752488372,1.04060130071497
"1166","Penitentiary Canal",1998,2015.211238,24.07382889,251.0334587,973,31.17913832,0.921299531,7.60847930164056,-0.119230254,1.36054422,129,72.5760522,0.0424499900000015,-169.587166,0.010429205423627,0.228556935576675,0.570178807481642,0.0484182846432889,-0.622613509959419
"1167","Penitentiary Canal",1999,1601.259874,25.53788019,80.48131584,689,36.84807256,0.774432249,7.37854601962441,-0.146867282,5.66893424,-284,-170.55214286,1.4640513,-413.951364,-0.0077781807932755,1.32079659101127,-1.45824818046354,0.638963117201212,-0.764929320214026
